h: n            x            y(all     ),hh0l  n  y(proton  ),hh0dr n  y(nucleus ),hh0mb n  y(electron),hh0ug n  y(alpha   ),hh0pc n  y(pion+   ),hh0q  n  
#  e-lower      e-upper     deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err 
   5.7544E+02   7.5858E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.5858E+02   1.0000E+03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000

#   sum over                 3.3400E-01  0.0540   2.7600E-01  0.0593   7.1000E-02  0.1184   1.2200E-01  0.0903   6.0000E-03  0.4080   0.0000E+00  0.0000

'no. =  2,  reg  =      2'
msuc: {\huge [t-deposit] in region mesh}
msdl: {\it plotted by \ANGEL \version}
msdr: {\it calculated by \PHITS  2.30}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0000E+00 [cm^3]
e:

#------------------------------------------------------------------------------
 newpage:
#   no. =  3   reg =    3

x: Deposit Energy [MeV]
y: Number [1/source]     
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l  n  y(proton  ),hh0dr n  y(nucleus ),hh0mb n  y(electron),hh0ug n  y(alpha   ),hh0pc n  y(pion+   ),hh0q  n  
#  e-lower      e-upper     deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err 
   1.0000E-03   1.3183E-03   1.0000E-03  0.9995   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0000E-03  0.9995   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3183E-03   1.7378E-03   1.0000E-03  0.9995   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0000E-03  0.9995   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7378E-03   2.2909E-03   1.0000E-03  0.9995   0.0000E+00  0.0000   0.0000E+00  0.0000   2.0000E-03  0.7064   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.2909E-03   3.0200E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0000E-03  0.9995   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.0200E-03   3.9811E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.9811E-03   5.2481E-03   1.0000E-03  0.9995   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0000E-03  0.9995   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.2481E-03   6.9183E-03   1.0000E-03  0.9995   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0000E-03  0.9995   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.9183E-03   9.1201E-03   1.0000E-03  0.9995   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0000E-03  0.9995   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.1201E-03   1.2023E-02   3.0000E-03  0.5765   0.0000E+00  0.0000   0.0000E+00  0.0000   3.0000E-03  0.5765   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2023E-02   1.5849E-02   5.0000E-03  0.4461   0.0000E+00  0.0000   1.0000E-03  0.9995   7.0000E-03  0.3766   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5849E-02   2.0893E-02   2.0000E-03  0.7064   0.0000E+00  0.0000   0.0000E+00  0.0000   2.0000E-03  0.7064   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.0893E-02   2.7542E-02   2.0000E-03  0.7064   0.0000E+00  0.0000   0.0000E+00  0.0000   2.0000E-03  0.7064   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.7542E-02   3.6308E-02   2.0000E-03  0.7064   0.0000E+00  0.0000   0.0000E+00  0.0000   5.0000E-03  0.4461   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.6308E-02   4.7863E-02   5.0000E-03  0.4461   1.0000E-03  0.9995   2.0000E-03  0.7064   4.0000E-03  0.4990   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.7863E-02   6.3096E-02   6.0000E-03  0.4070   0.0000E+00  0.0000   2.0000E-03  0.7064   6.0000E-03  0.4070   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.3096E-02   8.3176E-02   5.0000E-03  0.4461   0.0000E+00  0.0000   5.0000E-03  0.4461   9.0000E-03  0.3318   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.3176E-02   1.0965E-01   6.0000E-03  0.4070   0.0000E+00  0.0000   2.0000E-03  0.7064   6.0000E-03  0.4070   0.0000E+00  0.0000   0.0000E+00  0.0000
